cntry;name_minister;portfolio;party;party_fullname;party_abbr;party_nameen;orientation;ep_affiliation;eu_stance
SWE;Lena Hallengren;Minister for Health and Social Affairs;Social Democratic;Sveriges Socialdemokratiska Arbetareparti;NA;Social Democratic Workers’ Party of Sweden;Centre-left;S&D;"In favour of EU integration;"
SWE;Annika Strandhäll;Minister for Social Security;Social Democratic;Sveriges Socialdemokratiska Arbetareparti;NA;Social Democratic Workers’ Party of Sweden;Centre-left;S&D;"In favour of EU integration;"
SWE;Ardalan Shekarabi;Minister for Social Security;Social Democratic;Sveriges Socialdemokratiska Arbetareparti;NA;Social Democratic Workers’ Party of Sweden;Centre-left;S&D;"In favour of EU integration;"
SWE;Magdalena Andersson;Minister for Finance;Social Democratic;Sveriges Socialdemokratiska Arbetareparti;NA;Social Democratic Workers’ Party of Sweden;Centre-left;S&D;"In favour of EU integration;"
SWE;Per Bolund;Minister for Financial MarketsMinister for HousingDeputy Minister for Finance;Green;Miljöpartiet;MP;Green Party;Green politics;Centre-left;Greens/EFA
SWE;Åsa Lindhagen;Minister for Financial MarketsDeputy Minister for Finance;Green;Miljöpartiet;MP;Green Party;Green politics;Centre-left;Greens/EFA
SWE;Ardalan Shekarabi;Minister for Public AdministrationMinister for Consumer Affairs;Social Democratic;Sveriges Socialdemokratiska Arbetareparti;NA;Social Democratic Workers’ Party of Sweden;Centre-left;S&D;"In favour of EU integration;"
SWE;Lena Micko;Minister for Public AdministrationMinister for Consumer Affairs;Social Democratic;Sveriges Socialdemokratiska Arbetareparti;NA;Social Democratic Workers’ Party of Sweden;Centre-left;S&D;"In favour of EU integration;"
SWE;Anna Ekström;Minister for Education;Social Democratic;Sveriges Socialdemokratiska Arbetareparti;NA;Social Democratic Workers’ Party of Sweden;Centre-left;S&D;"In favour of EU integration;"
SWE;Matilda Ernkrans;Minister for Higher Education and Research;Social Democratic;Sveriges Socialdemokratiska Arbetareparti;NA;Social Democratic Workers’ Party of Sweden;Centre-left;S&D;"In favour of EU integration;"
SWE;Isabella Lövin;Minister for the EnvironmentMinister for the Climate;Green;Miljöpartiet;MP;Green Party;Green politics;Centre-left;Greens/EFA
SWE;Per Bolund;Minister for the EnvironmentMinister for the Climate;Green;Miljöpartiet;MP;Green Party;Green politics;Centre-left;Greens/EFA
SWE;Ibrahim Baylan;Minister for Enterprise;Social Democratic;Sveriges Socialdemokratiska Arbetareparti;NA;Social Democratic Workers’ Party of Sweden;Centre-left;S&D;"In favour of EU integration;"
SWE;Jennie Nilsson;Minister for Rural Affairs;Social Democratic;Sveriges Socialdemokratiska Arbetareparti;NA;Social Democratic Workers’ Party of Sweden;Centre-left;S&D;"In favour of EU integration;"
SWE;Amanda Lind;Minister for CultureMinister for Democracy Minister for Sports;Green;Miljöpartiet;MP;Green Party;Green politics;Centre-left;Greens/EFA
SWE;Ylva Johansson;Minister for Employment;Social Democratic;Sveriges Socialdemokratiska Arbetareparti;NA;Social Democratic Workers’ Party of Sweden;Centre-left;S&D;"In favour of EU integration;"
SWE;Eva Nordmark;Minister for Employment;Social Democratic;Sveriges Socialdemokratiska Arbetareparti;NA;Social Democratic Workers’ Party of Sweden;Centre-left;S&D;"In favour of EU integration;"
SWE;Åsa Lindhagen;Minister for Gender EqualityMinister with responsibility for anti-discrimination and anti-segregation;Green;Miljöpartiet;MP;Green Party;Green politics;Centre-left;Greens/EFA
